Regex,Attempt Regex,DeepSeek Output
(a|(b*bb))*,bb+|b+b,"positive example:[""bb"", ""bbb"", ""bbbb"", ""b"", ""bb"", ""bbb""], negative example:["""", ""0""]"
(a|baa)*,"a*(b)a{2,}","positive example:[baa, aabaaa],negative example:[ba]"
b*a*,(()(a+)+)|((b+))+((a*)+),"positive example:[ba,b,a],negative example:[,bab]"
(a*ba*b)*a*ba*,([a]*[b][a]*)([a]*[b][a]*[b][a]*)+,"positive example:[bbbbb, aabbba],negative example:[b]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)+(aaa)+,"positive example:[bbaaa, abaaaaaa, baaaa, aaabbabbaaa],negative example:[aaaaaa]"
(a*ba*b)*a*ba*,(bb)*a*b(a)*(bb)*a*,"positive example:[bbbbaabaabbbbaa, b],negative example:[abbbabba,abbab]"
a(a|b)a(a|b)*,(aaa|aba)b,"positive example:[aaab, abab],negative example:[ab]"
(a|b)(a|b)+aaa+,(a|b)(ab)(aaa)a*,"positive example:[aabaaa, aabaaaaa],negative example:[abaaa]"
(a|(b*bb))*,(a)*(bb+ab+b+bba)*(bb+ba+a+bba)*(bb)*,"positive example:[abbbbaabba, bbabbbbabbbabbbbabbbb, aabbabbbbabbbaabbabbbaabbabb],negative example:[bbababbbba,bbbabaabba]"
(a|baa)*,(a)*(b)(a)(a),"positive example:[baa, aabaa], negative example:[aba, aa, baaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01*0)*0*,"positive example:[, 0100110], negative example:[01000100]"
(a|b)(a|b)+aaa+,(aa|ab|ba|aa)(a|b)*aaa+,"positive example:[aaaaa, babaaa, ababaaa],negative example:[aaaa]"
(0*10*10*)*|0*,(0|11)*,"positive example:[, 011],negative example:[1]"
(a|baa)*,"a*b(a{2,})","positive example:[baaa, aabaa, abaaa],negative example:[ba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111),"positive example:[000111, 00010, 100011, 111000, 10011, 111, 0001, 111101, 00100, 000010, 110100, 10101, 111011, 10000, 11010, 100, 01, 101001, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 01000, 101010, 10, 101111, 0100, 1000, 110010, 11111, 00001, 000001, 100000, 110001, 001, 111110, 0010, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 1],negative example:[0]"
(a*ba*b)*a*ba*,(a*)(b)(a*|(b(a*)b))a*,"positive example:[bbb, bbaab, aab, bbabaa],negative example:[bb]"
(a|(b*bb))*,(a)*(bb+b)*(a)*,"positive example:[aabbbbaa, ],negative example:[bbbabbba]"
(a|b)(a|b)+aaa+,b+a+(aaa)|a+b+(aaa)|b+b+(aaa)|a+a+(aaa),"positive example:[aaaaa, abaaa, baaaaa, bbaaa, bbaaaa], negative example:[baaa, aaaa, a, ababaaa]"
b*a*,(a+|(b+a+)),"positive example:[ba, aa, bbaa, a], negative example:[b]"
(ab|ba)*,(abba)*(ab)*(ba)*(ab)*,"positive example:[, abbaabbaababbabaabab], negative example:[ababbaabbaab]"
(a|baa)*,(a*baaa*)|(a*),"positive example:[baa, aabaaaa, abaa, , aa],negative example:[b]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0?|0(0*1*)*0|1(1*0*)*1,"positive example:[, 0100, 1011, 111], negative example:[1]"
(a*ba*b)*a*ba*,(a)*b(a)*(bb)*(a)*,"positive example:[aabaabbbbaa, b],negative example:[bbbabba]"
a(a|b)a(a|b)*,aaa,"positive example: [""aaa""], negative example: [""aa"", ""aaaa"", ""aab"", ""baaa""]"
(0*10*10*)*|0*,(0*(11)*)*|(10*1)*|(0*(11)*)*|(0*10*1)*|(10*10*)*,"positive example:[101110, 010111], negative example:[111,1]"
(a|baa)*,(baa+a*)*,"positive example:["""", ""baabaa""], negative example:[""ba"", ""baaaab""]"
(0|1)(0|1)*,01*,"positive example:[0, 011, 01],negative example:[1, 10, 111]"
(a|b)*baa(a|b)*b,(a*|b*)(baa)+(a*|b*)b,"positive example:[aabaabaaaab, bbbaabb, baabbb],negative example:[baaabaab,b]"
0*10*(10*10*)*,0*(10*|10*),"positive example:[001, 1], negative example:[0]"
0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*0*),"positive example:[0011110010010011100, 1],negative example:[11011010110]"
(a|(b*bb))*,a*bb(b)*a*,"positive example:[bbaa, aabbbb], negative example:[ab, bba, aabba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0+1+)*|(0+1+0+)*,"positive example:[10011011, 01001100, 010, 101],negative example:[0]"
(a*ba*b)*a*ba*,a*b(a*bb)*(bba*)*a*,"positive example: [babbabb, aabaa], negative example: [abba, bbaa]"
0*10*(10*10*)*,(0*1|1(11)*0*|10*|1(101)*|0*10*|01(11)*|10*(11)*|10*10*1),"positive example:[1101101, 1001111, 1111100, 101001, 11001, 100101, 00100, 011111],negative example:[111011, 0, 11011101, , 10110]"
(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*,"positive example:[aabbbabbbbabbbbbaa, bbbaabbbaa, bbabbb, a],negative example:[abab, bbaabba, aabbaa, baba]"
(0*10*10*)*|0*,(011)*|(101)*|(011)*,"positive example:[101101], negative example:[0]"
(a|(b*bb))*,(a*(bb+bbb)*a*)*,"positive example:[bbbbb, bbbbbabbbbbb], negative example:[a, b, abba]"
(a|baa)*,a*(ba{2})*,"positive example:[aa, baabaa], negative example:[ab, baaab]"
(b|aa*bb)*((aa*(b?))?),b*a*b*|((a*bb+a*)*)?,"positive example: [babb, bbaab, abbbaa, b, a], negative example: [abab]"
(a*ba*b)*a*ba*,a*ba*(ba*b)*a*(ba*b)*,"positive example:[aabaababaa, bbbbbabbbb, b],negative example:[bbbabba]"
(a|baa)*,aa*(baaa*)*,"positive example:[aa, aaabaabaa, a],negative example:[b, ab, ba]"
a(a|b)a(a|b)*,((aaa)|(aba))a*b*,"positive example:[aaa, abaaabb],negative example:[aaabab,a]"
(a*ba*b)*a*ba*,(b{1}a*)|(a*b{1})|(a*b(bb)*),"positive example:[baa, bbbbb, ba, aabbbbb], negative example:[a,bb]"
(a|baa)*,"b?a{2,}","positive example:[baa, aaa], negative example:[a, bbaa]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001),"positive example:[00010, 100011, 111000, 10011, 111, 0001, 111101, 00100, 110100, 10101, 111011, 11010, 10000, 100, 01, 101001, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 101010, 01000, 10, 101111, 0100, 110010, 1000, 11111, 00001, 000001, 100000, 110001, 001, 111110, 0010, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 1],negative example:[0]"
(a|b)(a|b)+aaa+,[ab]{2}a{3},"positive example:[baaaa, abaaa], negative example:[aaaaaa, aaaa]"
b*a*,((a)+|b+a*),"positive example:[aa, bbaa, b, a],negative example:[ab, ba, bb, aab]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)b(a(a|b)b)*,"positive example:[abaababb, ab], negative example:[b]"
(a|b)(a|b)+aaa+,(a|b)(a|b)aaa(a)*,"positive example: [aaaaa, abaaaaa, bbaaaa], negative example: [aaa, bbaa, aabaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)0*1*(10))*,"positive example: [, 01010, 01100110, 01110], negative example: [0, 1, 010, 0110, 010110]"
(a|b)*baa(a|b)*b,a*(baa)+b+,"positive example:[abaabb, aabaab, baabaab],negative example:[b,baa,baaabaab]"
(0|10*1)*,0*|((10*1)*),"positive example:[00, 100111, 101],negative example:[1]"
(a*ba*b)*a*ba*,((a*(bb))*((a)*b)(a)*(a*(bb))*),"positive example:[baa, bbbaa, abbaaba, babbbb, bbbbab], negative example:[a, bb, abab, baba, aaab]"
(a|b)(a|b)+aaa+,(a|b)(a|b)(ab)*aaa,"positive example:[abababaaa, baaaa], negative example:[ab, baba, aabaa]"
(a|b)(a|b)+aaa+,"(aa|bb)(a|b)*a{3,}","positive example:[aaaaa, bbabaaa],negative example:[aaaa]"
(0|1)(0|1)*,(0|1)+(0|1),"positive example:[00, 100, 001],negative example:[0]"
(a|(b*bb))*,(a)*(a+bb)*(a)*(bbb)*(bb)*(a)*,"positive example:[bbbbaa, abbaabbb, abbabbabbbbbbba], negative example:[bbbabbbbbba]"
(0*10*10*)*|0*,(00)*(11)*((01|10)(01|10)),"positive example:[000011111001, 000101, 0110],negative example:[010]"
(0|10*1)*,(0?)*((1(0?)*1)?)*(0?)*,"positive example:[00111100], negative example:[11011]"
(a|baa)*,a*(b(aa)+)*,"positive example: [, a, aabaabaa], negative example: [b, aa, abab]"
(a|b)(a|b)+aaa+,((a|b){2})aaa+,"positive example:[baaaa, abaaaa], negative example:[aabaaa,aaaa]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10),"positive example:[10, 11111, 111, 1],negative example:[0]"
(0|1)(0|1)*,[0-1],"positive example:[0, 1], negative example:[2, a, 01, 10]"
a(a|b)a(a|b)*,(aba(a|b)*),"positive example:[abaab, aba], negative example:[a]"
(0*10*10*)*|0*,10*0*1,"positive example:[11], negative example:[10, 01, 100, 001, 101, 010]"
(a|(b*bb))*,(a*(bb|bbb))*,"positive example:["""", ""bb"", ""bbb"", ""aabbaa"", ""bbbb"", ""abbbba"", ""aabbb"", ""bbbbb""], negative example:[""a"", ""b"", ""ba"", ""ab"", ""bab"", ""bba"", ""bbbaa"", ""aaab""]"
(a|b)*baa(a|b)*b,[ab]*(baa)b,"positive example:[baab, abbaab], negative example:[a, b, baa, abbaa]"
(a|(b*bb))*,a*(bb|bbb|bbbb|bbbbb)*a*,"positive example:[bbb, , aabb, bbbbbbaa], negative example:[bbabb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0+1*0+)(10)*|(1+0*1+)(01)*,"positive example:[0, 0011001010, 101, 010, 100110101, 1], negative example:[010100,01,10,101011]"
(a|(b*bb))*,(a|bb)*|a*,"positive example:[bb, abb], negative example:[b]"
(0|10*1)*,((0*)1(0*)1(0*))*,"positive example:[, 01010, 1111], negative example:[1]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*|(0+1*0+)*|(1+0*1+)*,"positive example:[010, 1001101, 0100110, 1], negative example:[0, 01010, 10101]"
(a|b)*baa(a|b)*b,(ab*)+(b+b+a)+(ab*)+(b),"positive example:[aabbaabb, abbaaab],negative example:[bbaab,abbab]"
(a|baa)*,(baa+)*|a*,"positive example:[aa, baaabaa], negative example:[b]"
(a|baa)*,"(a)*ba{2,}|a*","positive example: [, aa, baaa, aabaa], negative example: [b, ba]"
(a|baa)*,(a*baa(a)*)*,"positive example:[, baaa, baabaa], negative example:[a, b, baa]"
(a|baa)*,(a*b)aa+,"positive example:[baaa, aabaa, abaaa],negative example:[ba]"
(a|b)(a|b)+aaa+,(a+|b+)(a+|b+)(aaa+),"positive example:[bbaaa, aabaaaa, aaaaa],negative example:[aaaa]"
(a|b)*(bab)(a|b)*,(a|b)*bab(a|b),"positive example:[baba, bababb, abbaba],negative example:[a, b, abab]"
(0|1)(0|1)|(0|1)(0|1)(0|1),00|01|10|11|111|110|100|000|001|011,"positive example:[100, 111, 001, 01, 00, 11, 10, 000, 011, 110], negative example:[0]"
(a*ba*b)*a*ba*,a*b(a*ba*b)*,"positive example:[aab, bbbbb], negative example:[aa, abab, bba]"
0*10*(10*10*)*,1(11)*0,"positive example:[10, 111110], negative example:[0, 11, 1100, 1110]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*|((a|b)a*b)?,"positive example:[aab, bb, ababba],negative example:[abab,b]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110),"positive example:[000111, 1010111, 00010, 1010010, 100011, 111000, 10011, 111, 010011, 0001, 111101, 00100, 011100, 000010, 1010100, 000100, 110100, 10101, 111011, 10000, 11010, 100, 010101, 010000, 001011, 01, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 010110, 001000, 01000, 101010, 10, 101111, 001101, 1011110, 0100, 110010, 11111, 1000, 00001, 011001, 1010001, 011010, 000001, 100000, 110001, 001, 111110, 0010, 001110, 01101, 01011, 101100, 0111, 1011101, 1110, 11001, 100101, 011111, 1], negative example:[0]"
0+1*,01*,"positive example:[0, 011], negative example:[1, 001]"
(a|b)(a|b)+aaa+,(a|b){3}(a|b)*aaa+,"positive example:[aababaaa, baaaaa],negative example:[aaaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*011*100*)*)|((1*100*011*)*)|(0*)|(1*)|((1*10*11*)*)|((0*01*00*)*),"positive example:[0, 1001101, 101, 0010, 0100110, 1],negative example:[011011100,100100011]"
a*(ba*ba*ba*)*,a*ba*ba*b,"positive example:[bbb, baabaab, aabbab],negative example:[bb, babb, aabaa]"
(a|(b*bb))*,(a|bb)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a|bb)*,"positive example:[, abbabbbabbabbbabb], negative example:[b, bbbabbbabbb]"
(b|(a*aa))*,b*aa*ab*,"positive example:[bbaaa, aabb, aaaabb], negative example:[abab, bbaaab, aabba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(01))*|(0+(10)*),"positive example:[, 00, 101101, 01010, 101],negative example:[1, 10]"
0*10*(10*10*)*,(0*(10*1)*0*(10*1)*0*10*),"positive example:[0010010100100100, 11110011111, 1],negative example:[1101101101]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(01*0)*1)*|(0*(01*0)*0*)*|(0(10*1)*0)*|(1*(10*1)*1*)*,"positive example:[1010111, 01000110, 0001010, 010, 101, 10011101], negative example:[100101, 010110]"
a(a|b)a(a|b)*,a(a|b)a,"positive example:[aaa, aba],negative example:[aab, baa, a, aa, aaaa]"
(a|(b*bb))*,((a*)+(bbb*a*))*,"positive example:[, abb, bbabbb], negative example:[aab, bba, abab]"
(a|(b*bb))*,(a*(bbb*)*a*),"positive example:[, aabbaa],negative example:[bbabba]"
a(a|b)a(a|b)*,(aaa)|(aba),"positive example:[aaa, aba],negative example:[a]"
(ab|ba)*,((ab)|(ba)),"positive example:[ba, ab],negative example:[a]"
(a*ba*b)*a*ba*,[a]*b(([a]*b){2})*,"positive example:[aabbbbb, b], negative example:[a, aa, ab]"
(a*ba*b)*a*ba*,a*(ba*b)*ba*,"positive example:[bbbbb, aabbb, abaa], negative example:[a, b, aaab]"
(a*ba*b)*a*ba*,b((a*)(bb))*,"positive example:[bbbbb, b], negative example:[bba, baa]"
(a|baa)*,a*((baa)*)|a*,"positive example:[aabaa, baabaa],negative example:[b,baaabaa]"
(0*10*10*)*|0*,0*|(0?10*10*)*,"positive example:[00, 01010, 1111], negative example:[1]"
(a*ba*b)*a*ba*,a*b(ba*b)*,"positive example:[aab, bbbbb], negative example:[a, aa, abab]"
(a|baa)*,((a)*baa+)+,"positive example:[baa, baabaaa], negative example:[a, b, aa, ab, ba, aba, aab, baaa, abaa, aaba]"
(0|10*1)*,0*|(0*10*10*),"positive example:[11, , 00, 00100100, 01010], negative example:[1]"
b*a*,a*|(b*a+),"positive example:[, bba], negative example:[b, aba]"
(0*10*10*)*|0*,0*|(10*1)*,"positive example:[00, 0, 100111, 101],negative example:[1]"
(a*ba*b)*a*ba*,a*b(ba*ba*)*,"positive example:[bbbbb, aabbba, b], negative example:[a, aa, ab]"
(a*ba*b)*a*ba*,a*ba*(ba*b)*,"positive example:[ba, aabaabab, bbbbb],negative example:[aa, abab, baba]"
(0*10*10*)*|0*,(11)*|0(11)*|(11)*0|0*|(101)*,"positive example: [00, 01111, 101101, 11110, 1111], negative example: [1]"
0*10*(10*10*)*,(0*(10*1)*0*10*),"positive example:[0010101, 100, 1111001],negative example:[1101101]"
a+b,(a)b,"positive example: [""ab"", ""aba"", ""abb"", ""abc"", ""ab1""], negative example: [""a"", ""b"", ""ba"", ""aa"", ""aab""]"
(a|(b*bb))*,a*bb+bba*,"positive example:[aabbbbb, bbbb, abbbbaa],negative example:[bbb]"
(a|baa)*,"(a+|(b{1}a{2,})+)+","positive example:[baa, abaa],negative example:[b,]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1((1+0+1)|(01))*)|(0+1+0((0+1+0)|(10))*),"positive example:[0011001010, 101, 11, 00, 1010101101, 010, 11001101], negative example:[01,10]"
0*10*(10*10*)*,(0*(11)*10*),"positive example:[0010, 1111100, 1], negative example:[0110, 000, 101]"
(ab|ba)*,(ab)*(ba)*,"positive example:[, ababbaba],negative example:[baabba]"
(a|baa)*,"([a]+)|(b{1}a{2,})","positive example:[baa, aa, baaa, a],negative example:[b, bbaa, , ba]"
(a|(b*bb))*,a,"Based on the regular expression `a`, here are the positive and negative examples:

positive example: [""a""],  
negative example: ["""", ""b"", ""aa"", ""A""]"
(a*ba*b)*a*ba*,a*b(a*bb)*(bba*)*,"positive example: [babb, aabbba, babbabbbbabba], negative example: [a, bb, abab]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*b))?,"positive example:[aab, bb, ababba],negative example:[aababa,b]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010),"positive example:[10, 010, 100, 1110, 11111, 111, 001, 1, 01],negative example:[0]"
(a|(b*bb))*,a*(bb+)*a*,"positive example:[, aabbbaa], negative example:[bbabba]"
(a|b)*baa(a|b)*b,[ab]*(baaa*)+b,"positive example:[baab, abbaaab, babaab],negative example:[b]"
(a*ba*b)*a*ba*,(b)((a)*(bb)*)*,"positive example:[bbba], negative example:[bbaab]"
(a|baa)*,(a)*(baa)*(a)*(baa)*,"positive example:[, aabaaaa, baabaaabaabaa],negative example:[baaabaaabaa]"
(a|baa)*,(a*(baa+)a*)*,"positive example: [, baabaa], negative example: [a, b, baa, abaa, baab]"
(a|baa)*,(a)*|((b)(aa))*(a)*,"positive example:[baabaaaa, baa], negative example:[b]"
(a|(b*bb))*,(a)*(bb|bbb)*(a)*,"positive example:["""", ""aabbbbbaa""], negative example:[""bbabba""]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(1|0)*1),"positive example:[11, 00, 1101, 000, 0010],negative example:[0]"
(a|b)*(bab)(a|b)*,(bbab)*(a+b)*bab(a+b)*(babb)*,"positive example:[bbabbab, bbabbbabababbabbabbbabb, abbababab], negative example:[bbab, bbabab, bbabbbababbab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000),"positive example:[00010, 100110, 100011, 110111, 111000, 1101, 10110, 10011, 111, 01000, 101010, 10, 101111, 0100, 0001, 110010, 11111, 1000, 00100, 00001, 100000, 110100, 10101, 110001, 111011, 11010, 10000, 100, 001, 0010, 01101, 01, 01011, 101001, 101100, 01110, 0111, 010, 1011, 1110, 11100, 11001, 100101, 00111, 1],negative example:[0]"
(a*ba*b)*a*ba*,(a|bb)*b,"positive example:[abbb, bbab, b],negative example:[bb]"
0(0|1)*0,0+(0*1*)0+,"positive example:[00, 01100], negative example:[0,01010]"
0*10*(10*10*)*,1(11)*,"positive example:[11111, 1], negative example:[111, 11, 1111]"
(0|1)(0|1)*,(0*1+)+(1*0+)+,"positive example:[010],negative example:[1,0]"
(a|(b*bb))*,(a+bb)*a*,"positive example:["""", ""abb"", ""abbabbaa""], negative example:[""aab"", ""bbab"", ""baa""]"
(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*)aaaa*,"positive example:[aaaabaaa, bbbbaaa, baaaa, abbaaa],negative example:[aababaaa,aaaa]"
(a|(b*bb))*,(a)*(b*bbb*)*(a)*(b*bbb*)*(a*),"positive example:[, aabbaabbaa], negative example:[bbabbabba,b]"
(a*ba*b)*a*ba*,(a*)(b)(a*|(b(a*)b))(a*),"positive example:[aabbb, ab, bbaabaa],negative example:[bb]"
(b|(a*aa))*,(b*aa+b*)|(b*a+ab*)|b*,"positive example:[, bb], negative example:[aabaab, a]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*)|((a|b)a*b),"positive example:[baab, ab, , ababba],negative example:[b]"
(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*b*)aaaa*,"positive example:[bbbbabaaaa, aaaaabaabbaaaaa, abaaa, baaaa], negative example:[aabababaaa, aaaa]"
a(a|b)a(a|b)*,(aba)+(aaa),"positive example:[abaaaa, abaabaaaa], negative example:[aaa]"
1*(01*01*01*01*)*,(1*(0000)*1*)*,"positive example: [000010000], negative example: [0001000]"
(a|(b*bb))*,(bb)*|a*|(bb)*,"positive example:[aa, a, bbbb, bb, ], negative example:[b, ab, aab, bba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001),"positive example:[1101, 100, 111, 001, 01, 10, 0001, 010, 1110, 1000, 11111, 1011, 1],negative example:[0]"
(a|(b*bb))*,(a*(bb|bbb)a*),"positive example:[bba, bb, aabbbaa],negative example:[a]"
(a|b)*(bab)(a|b)*,a*b*a*(bab)(a|b)*,"positive example:[bab, aabbaababab], negative example:[baabaabab]"
(a|(b*bb))*,a*bb(b)*a*|a*,"positive example:[bbaa, bbbb, aabbb, , aa], negative example:[b]"
(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*(aaa),"positive example: [bbaabaaaaa, abaaa, babaaa, aabbaaa], negative example: [aababaaa, aaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*0)|(1(0*1*)1),"positive example:[11, 0100, 100111, 000, 101], negative example:[0, 10101]"
0*10*(10*10*)*,(11)*0*1(11)*0*(11)*|1(11)*0*(11)*0*(11)*|(11)*0*(11)*0*1(11)*|0*1(11)*0*1(11)*0*1(11)*0*,"positive example:[1101101, 11111011011, 11110011110011111, 1001111001111, 010110, 111110111110011111, 0100101, 010, 00110100, 11110011111001111],negative example:[0,1101101101,1011011011]"
(a*ba*b)*a*ba*,a*b(a|(bb|bab))*,"positive example:[aabababbb, b], negative example:[bb]"
(a|(b*bb))*,(bb)*(a)*(bb+b)*(a)*(bb)*,"positive example:[, bbbbaabbbbaabbbb], negative example:[abbbbabbbbabb]"
(0*10*10*)*|0*,(10*1)*,"positive example:["""", ""11"", ""101"", ""1001"", ""10101"", ""100111""], negative example:[""0"", ""1"", ""10"", ""01"", ""100"", ""110"", ""1010"", ""10011""]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(00)|(01)|(10)|(100)|(010)|(001)|(110)|(001)|(101)|(111),"positive example:[00, 10, 110, 010, 100, 111, 101, 01],negative example:[0]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001),"positive example:[000111, 00010, 100011, 111000, 10011, 111, 010011, 0001, 111101, 00100, 011100, 000010, 000100, 10101, 110100, 111011, 11010, 10000, 100, 010101, 010000, 001011, 01, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 010110, 001000, 01000, 101010, 10, 101111, 001101, 0100, 11111, 1000, 110010, 00001, 011001, 011010, 1010001, 000001, 100000, 110001, 001, 111110, 0010, 001110, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 011111, 1],negative example:[0]"
(a|b)(a|b)+aaa+,(a*b){3}aaa,"positive example:[bbbaaa],negative example:[bbbbaaa,bbaaa]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)(a?),"positive example:[bba, aaab], negative example:[abaa]"
(a|baa)*,(a*)+baa,"positive example: [""baa"", ""abaa"", ""aaaabaa""], negative example: [""aa"", ""aab"", ""ba"", ""abbaa""]"
(0|10*1)*,(0|11)*,"positive example:[, 011],negative example:[1]"
(0|10*1)*,(0*)(11)*,"positive example:[, 0, 001111], negative example:[1, 011, 1110]"
(0*10*10*)*|0*,0*|(0*|11)*|(10*1),"positive example:[011, 1001, 101], negative example:[1]"
(a*ba*b)*a*ba*,(a|bb)*a*b(a|bb)*,"positive example:[baa, abbababb, b],negative example:[abb]"
(a*ba*b)*a*ba*,(a)*b(a)*(bb)*,"positive example:[aabaabbbb, b], negative example:[bbbabb]"
(a|baa)*,(baa+),"positive example:[baa, baaa], negative example:[ba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010),"positive example:[000111, 00010, 100011, 111000, 10011, 111, 0001, 111101, 00100, 000010, 000100, 10101, 110100, 111011, 10000, 11010, 100, 001011, 01, 101001, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 001000, 01000, 101010, 10, 101111, 001101, 0100, 1000, 110010, 11111, 00001, 011001, 011010, 000001, 100000, 110001, 001, 111110, 0010, 001110, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 1],negative example:[0]"
(a|baa)*,((a)*baa(a)*)*,"positive example:[, baabaa], negative example:[a, b, aa, ab, ba, aaa, aba, baaa, abaa, baba]"
